time,A Feed,D Feed,E Feed,A and C Feed,Recycle Flow,Reactor Feed Rate,Reactor Pressure,Reactor Level,Reactor Temperature,Purge Rate,Product Sep Temp,Product Sep Level,Product Sep Pressure,Product Sep Underflow,Stripper Level,Stripper Pressure,Stripper Underflow,Stripper Temp,Stripper Steam Flow,Compressor Work,Reactor Coolant Temp,Separator Coolant Temp,Component A to Reactor,Component B to Reactor,Component C to Reactor,Component D to Reactor,Component E to Reactor,Component F to Reactor,Component A in Purge,Component B in Purge,Component C in Purge,Component D in Purge,Component E in Purge,Component F in Purge,Component G in Purge,Component H in Purge,Component D in Product,Component E in Product,Component F in Product,Component G in Product,Component H in Product,D feed load,E feed load,A feed load,A and C feed load,Compressor recycle valve,Purge valve,Separator liquid load,Stripper liquid load,Stripper steam valve,Reactor coolant load,Condenser coolant load,t2_time,t2_A Feed,t2_D Feed,t2_E Feed,t2_A and C Feed,t2_Recycle Flow,t2_Reactor Feed Rate,t2_Reactor Pressure,t2_Reactor Level,t2_Reactor Temperature,t2_Purge Rate,t2_Product Sep Temp,t2_Product Sep Level,t2_Product Sep Pressure,t2_Product Sep Underflow,t2_Stripper Level,t2_Stripper Pressure,t2_Stripper Underflow,t2_Stripper Temp,t2_Stripper Steam Flow,t2_Compressor Work,t2_Reactor Coolant Temp,t2_Separator Coolant Temp,t2_Component A to Reactor,t2_Component B to Reactor,t2_Component C to Reactor,t2_Component D to Reactor,t2_Component E to Reactor,t2_Component F to Reactor,t2_Component A in Purge,t2_Component B in Purge,t2_Component C in Purge,t2_Component D in Purge,t2_Component E in Purge,t2_Component F in Purge,t2_Component G in Purge,t2_Component H in Purge,t2_Component D in Product,t2_Component E in Product,t2_Component F in Product,t2_Component G in Product,t2_Component H in Product,t2_D feed load,t2_E feed load,t2_A feed load,t2_A and C feed load,t2_Compressor recycle valve,t2_Purge valve,t2_Separator liquid load,t2_Stripper liquid load,t2_Stripper steam valve,t2_Reactor coolant load,t2_Condenser coolant load,anomaly,t2_stat
0.05,0.25038,3674.0,4529.0,9.232,26.889,42.402,2704.3,74.863,120.41,0.33818,80.044,51.435,2632.9,25.029,50.528,3101.1,22.819,65.732,229.61,341.22,94.64,77.047,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.881,53.744,24.657,62.544,22.137,39.935,42.323,47.757,47.51,41.258,18.447,1.8944441089259612,0.003863934275755118,0.2663953125606275,0.5822893735704162,1.2645453527397343,0.07266677469240022,0.22773836344773532,0.002604886413528115,0.2974297430849236,0.37772402576142583,0.05602339179015028,0.22642264005769494,0.9962776233459764,0.00572121250780082,0.12161075595163152,0.25612284382929074,0.035381734769659175,0.1077879455202599,0.26965575969642597,0.42243376967491314,0.004816109775785725,0.12649049174332103,0.8186736961197699,0.005426544829180654,0.016234467963521567,0.08152362447734476,0.0071108252744050025,0.0020509576366669236,0.07060967007958749,0.07723621309160635,0.02083438147378438,0.023225700391309834,0.02908176992811301,0.10166634230627802,0.24669155773507917,0.06559799659974007,0.00745058938180072,0.09166730590785727,0.016942653001557426,0.0829918711755045,0.14884237147780705,0.059471665466045,0.13361730589338872,0.6421599930967434,0.0004568636650763514,1.414868487584871,0.021900622163405176,0.06470146682347859,0.9963003096474569,0.256358298179937,0.3310714763724162,0.16835210600129077,0.11367922148487876,False,8.435087776841076
0.1,0.25109,3659.4,4556.6,9.4264,26.721,42.576,2705.0,75.0,120.41,0.3362,80.078,50.154,2633.8,24.419,48.772,3102.0,23.333,65.716,230.54,341.3,94.595,77.434,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.132,53.414,24.588,59.259,22.084,40.176,38.554,43.692,47.427,41.359,17.194,2.5840028206601136,0.010992872390596296,0.08054521427166389,2.307768238722994,1.1992559666469302,1.4360735312124169,1.8254052366748743,0.027271861020148922,0.0446582957656597,0.4740495580995534,0.02707330556082014,0.08322804302006816,0.03485161892960913,0.03149351599835044,1.0902547179471238,1.1039992952468065,0.013032291423089095,0.3503576057131451,0.3743742447582122,0.4880179984791835,0.015562345830247185,0.04927353424311941,0.4757575061567324,0.006427277287994892,0.02313721518928108,0.12671972873100834,0.007287012097871877,0.0032873529515345837,0.11732869947456713,0.12071869918070939,0.02509299975042623,0.05675739294099801,0.045839752635556986,0.11373656081077133,0.4119667951082796,0.07451855967370523,0.012200150476579024,0.09006690564011906,0.027420605537165948,0.12155455966006588,0.19452635352321276,0.06165584790816481,0.13445167784040482,3.2858313678531736,0.01616714153455338,2.7705595646872307,0.10751965518180055,0.02728434272717091,0.03495228700342604,1.1040706815794514,0.5030562202833622,0.332612822271275,0.3645792653449413,False,15.688683068894457
0.15,0.25038,3660.3,4477.8,9.4426,26.875,42.07,2706.2,74.771,120.42,0.33563,80.22,50.302,2635.5,25.244,50.071,3103.5,21.924,65.732,230.08,341.38,94.605,77.466,31.767,8.7694,26.095,6.8259,18.961,1.6292,32.985,13.742,23.897,1.3001,18.765,2.2602,4.8543,2.39,0.017866,0.8357,0.098577,53.724,43.828,63.117,54.357,24.666,61.275,22.38,40.244,38.99,46.699,47.468,41.199,20.53,2.972429468875925,0.005728068180549203,0.13225545267735864,1.5591257240525958,2.1170623475047954,0.19753126451256528,2.8026353515580165,0.14414890268990502,0.783271751001914,1.251133282507399,0.09668484795327346,0.5058784040562921,0.13865113513689026,0.1892819471707242,0.13399292699823664,0.022757550413324727,0.1796840391618235,1.9695064565243359,0.4257305754382992,0.6188031539569341,0.0660999144786921,0.024344481894215897,0.8952804730008488,2.7273680689387816,2.541012749926305,1.1193789525308515,0.8434801918076089,0.7440983771068806,2.4593336992952755,0.19910228750417167,1.4748745849940494,0.20955814795398411,0.7590339519074133,0.8379709676690433,0.6220208426515975,0.12544915501738055,4.3126093241221275,0.14882802205018755,0.037054341679893965,0.13272854427389394,0.21972960578145706,0.11520348364339267,0.2038937309462405,1.7311952006943827,0.0038483463015346383,0.0427406400601477,0.47644136022617356,0.07874864475674467,0.1389048682067543,0.022982542307751617,0.5275587783544954,0.1991571507694969,1.94081401896962,False,22.165119345802776
0.2,0.24977,3661.3,4512.1,9.4776,26.758,42.063,2707.2,75.224,120.39,0.33553,80.305,49.99,2635.6,23.268,50.435,3102.8,22.948,65.781,227.91,341.71,94.473,77.443,31.767,8.7694,26.095,6.8259,18.961,1.6292,32.985,13.742,23.897,1.3001,18.765,2.2602,4.8543,2.39,0.017866,0.8357,0.098577,53.724,43.828,63.1,53.946,24.725,59.856,22.277,40.257,38.072,47.541,47.658,41.643,18.089,3.3573635115674225,0.02419092669572676,0.06624766257050307,0.07239640858920886,3.3963705773747295,1.2176589394556847,3.019804445509031,0.22025741248424252,0.5646609901206053,0.5149587602058345,0.09072489394319913,1.0612143878469233,0.030476735607734912,0.20211061670835573,4.973506219439437,0.2726334574144986,0.10688731556228143,0.010795792075061629,0.35154955619089506,0.8562599591977651,0.25374123566658685,0.8188686375694666,0.9506591551492958,2.7518553183276615,2.7232832680269183,1.1744414545541781,0.7990566747180011,0.6864682688513459,2.7484857407290133,0.21680477641050258,1.2209746487048319,0.2056549189223678,0.9353783707717206,0.7917604100414488,0.6150785016778796,0.1517003123727838,4.198742815240502,0.13617549048333297,0.04244656100287304,0.14362669262859679,0.18583968638812515,0.09039590114802867,0.1465081117025443,0.0362762632902534,0.024294721893671888,1.6497836423854333,0.20471795848878221,0.09227259680752341,0.030270215053937087,0.2727372381318924,0.48129736352062613,1.0601373416725077,0.0014756045628399313,False,23.633558317868662
0.25,0.29405,3679.0,4497.0,9.3381,26.889,42.65,2705.1,75.388,120.39,0.32632,80.064,51.31,2632.4,26.099,50.48,3103.5,22.808,65.788,231.37,341.11,94.678,76.947,32.322,8.5821,26.769,6.8688,18.782,1.6396,33.071,13.834,24.228,1.0938,18.666,2.2193,4.8304,2.2416,0.017866,0.8357,0.098577,53.724,43.828,63.313,53.658,28.797,60.717,21.947,39.144,41.955,47.645,47.346,41.507,18.461,3.202083272842682,2.538037617700003,0.6537580043994237,0.6065979165705229,0.10300116722671901,0.218006495949491,3.6933845685548925,0.059504654212399,1.5864987575081655,0.6482752810473815,0.952779476159022,0.2953779801983304,1.2065433687416558,0.049995789483298685,2.4705811413879983,0.3816311956824068,0.19562124636851258,0.23966829642736076,0.27940425095224763,0.4665155270718307,0.08364619996190346,0.5615134831840026,2.421293970500681,0.9631265209797452,10.702929466401018,3.1226079450000492,0.2246317005952856,0.03646714657202435,1.8516968954381503,0.9379266537919678,0.17587233839434493,1.0352865973441514,4.1949724775741695,0.2945443399436365,5.526538127307828,0.471129313582655,2.2030487051055028,0.19749096878757322,0.044907935208571,0.1855607028155242,0.3036120054709537,0.1403455339165296,0.7000046004305618,1.7764781112227874,2.4926228478091006,0.7239378166100153,0.5429792135804318,0.7313050567971211,1.206421240689836,0.381685655445103,0.5469954458196737,0.819139185617646,0.2421527307062219,False,31.270829763539048
0.3,0.29303,3691.7,4502.2,9.378,27.111,41.999,2703.8,75.05,120.39,0.33018,79.859,50.608,2632.2,27.856,50.448,3101.0,22.534,65.711,230.47,341.52,94.515,77.015,32.322,8.5821,26.769,6.8688,18.782,1.6396,33.071,13.834,24.228,1.0938,18.666,2.2193,4.8304,2.2416,0.04132,0.83341,0.11338,53.244,43.201,63.095,53.595,28.898,59.107,22.291,38.673,39.89,47.571,47.43,41.308,19.134,3.5464431334883195,2.811459688171978,1.6972541030099129,0.41198697513859084,0.7532023773518429,2.2418935324434996,4.751365734813047,0.06428429918914508,0.14072926998409752,0.9034803718505232,0.7505675707810213,1.9053367300469541,0.47099663323677143,0.0913430119388277,9.61057142258093,0.3882675178670447,0.12427859069957797,0.7187761699318715,0.6025212994333795,0.6468605357914443,0.2071748502074212,1.026642265936961,1.8928579435388055,1.1029616361738577,11.065132346777261,3.7289276259321342,0.37813732674628414,0.04998606873870398,1.9415283256380995,1.081210587213664,0.1571761284889213,1.4223982402193374,4.1040795070647285,0.35641989255670786,6.3774485072798575,0.7193092608349289,3.432880705553048,6.519379555437305,0.2511605660467493,4.18661076644972,3.5167534435176715,3.7741807900212536,0.23386757966784674,2.0668893617740776,2.914989677775134,4.354078169920445,0.4089080298685687,1.2957862182503694,0.4712105674190533,0.38834975499526286,0.6578948616134279,0.4842890957342141,0.7440423183364948,True,48.902638716502125
0.35,0.24301,3658.8,4541.6,9.3374,26.623,42.448,2704.0,75.498,120.39,0.33565,80.017,49.224,2632.8,25.113,49.559,3101.2,23.156,65.677,229.61,341.66,94.639,77.434,31.801,8.8537,26.288,6.8457,18.98,1.6407,32.708,13.771,23.35,1.2941,18.703,2.2659,4.8236,2.2975,0.04132,0.83341,0.11338,53.244,43.201,63.317,53.548,23.558,62.125,22.244,40.429,35.816,45.514,47.508,41.338,17.625,2.456702421703546,0.2660302690533502,0.13773808746021401,1.5514088678722904,0.06762129681911955,2.3592764864654487,0.7832743274091954,0.01851559069451712,1.4283723063120928,0.31958697956262844,0.08519190113373366,0.28779003490252664,0.5767342391565047,0.011163956260725964,0.06720104758813618,0.36145023010854904,0.04240622381460825,0.22459208749041693,0.500030666828456,0.6602908836167201,0.16698116062187465,0.1933033503678671,0.5885041730838931,2.833683328745693,0.5251266885271817,0.31398665837116413,0.6529714587196477,1.2693150925325536,1.306123671398972,0.8926643082573887,0.5812324379547003,2.441393779587689,0.5992230936514968,0.217159342798151,0.2702009967171102,0.9582623118067228,0.050587462540518935,4.150332704464562,0.21343892722028038,3.16045642449974,2.0829582534690423,1.9728319717234855,0.2953539912364877,1.7991114805675734,0.3925971191744312,1.2989220213094663,0.11751705192870325,0.19687672778839263,0.5768567700301194,0.3612819866159038,0.491848238080097,0.3576176675892099,0.23348526456488422,False,19.721705985169233
0.4,0.2409,3653.3,4500.0,9.3495,27.075,42.412,2704.9,74.883,120.42,0.3367,80.173,50.58,2633.3,23.858,48.63,3101.6,22.931,65.691,231.48,341.44,94.505,77.408,31.801,8.8537,26.288,6.8457,18.98,1.6407,32.708,13.771,23.35,1.2941,18.703,2.2659,4.8236,2.2975,0.04132,0.83341,0.11338,53.244,43.201,63.412,54.045,23.765,62.006,22.702,40.3,39.807,43.364,47.344,40.899,18.156,2.645471548196342,0.3574474213090628,0.46357944244075444,0.4863327293027141,0.07584346020751724,1.810805300584833,0.5315503472937277,0.03461294568273217,0.4760646293812021,1.4422415891101625,0.022241929863181128,0.255802220595295,0.3709802526160546,0.015389453510244547,3.036522273874611,1.4592647610294192,0.013151841505958894,0.031450813803225244,0.5188989091156326,0.5098917865140429,0.07358439302585036,0.6109519537252289,0.6655902086538087,3.1095718707070255,0.6976149123157694,0.37354238556156044,0.7158867324487848,1.5276121181683153,1.552282434456223,1.0837154163118952,0.7154736954998351,2.9436552443835646,0.7316195266021789,0.3162502209155005,0.33315543975725886,0.9995406776111597,0.051076996766441285,4.3755095529929235,0.2068347857494206,3.4653134904251357,2.4119751772308837,2.604907473016372,0.5933439392903759,0.33566773547015516,0.3418246998175393,1.2999420193265383,1.233575935984112,0.12814771465720703,0.37097406942143013,1.4590903521505834,0.5864939285851678,0.37151071955010473,0.026652637838221326,False,25.404623559352718
0.45,0.29416,3654.3,4454.7,9.3213,27.363,42.238,2703.2,74.657,120.37,0.33351,80.068,49.989,2631.4,24.101,49.502,3102.4,22.944,65.737,229.9,341.53,94.646,77.152,32.409,8.9602,26.52,6.9121,18.62,1.6721,33.582,13.986,24.115,1.1731,18.033,2.2949,4.8444,2.2902,0.04132,0.83341,0.11338,53.244,43.201,63.621,54.083,28.697,61.623,22.064,38.976,38.066,45.381,47.483,40.876,18.146,2.6284248606897753,2.649148668596524,0.419572887677552,3.4522778594794463,0.41720626252173043,5.623134480199886,0.8587961755395316,0.12867798071212808,1.368321994235038,2.409897530426884,0.317481866696798,0.3281842915794713,0.03967799820029317,0.17936829771858928,2.2841882757452177,0.5120052052983184,0.042716761362364956,0.023970415440488585,0.5564681431165039,0.8320188809234187,0.1401615820142665,0.2908592614159457,0.9280622720128215,1.7024863108914066,1.1060883632430858,1.1197339849114358,0.5215319590352887,1.3090725530347924,1.3962679518990289,5.2196825938764455,3.1562552348204544,0.6273081560034349,1.508081862274621,4.240080922692115,2.9298741193126623,0.13202763874663842,0.2953986096401628,5.073236499985849,0.18610151413151968,3.9091998678642392,2.8340369700864434,3.069343700874262,1.5292103305721774,0.645835654692968,2.4815545609492773,0.6853359874174983,0.15607298740090914,0.8658283688064303,0.03998209908739649,0.5121980972098503,0.7152477958267083,0.6435300524673223,0.02986446013469172,False,35.95800668725201
0.5,0.29372,3675.9,4487.4,9.4107,26.809,42.144,2705.3,74.227,120.44,0.32828,80.242,50.071,2635.3,25.941,50.329,3102.5,22.585,65.74,229.55,342.1,94.441,77.596,32.409,8.9602,26.52,6.9121,18.62,1.6721,33.582,13.986,24.115,1.1731,18.033,2.2949,4.8444,2.2902,0.04132,0.83341,0.11338,53.244,43.201,63.249,53.692,28.741,61.49,22.409,39.615,38.309,47.296,47.513,42.355,18.957,2.918690114393501,2.309721837526899,0.3245423882651333,0.747356298697736,0.9883029428146777,0.9179811889573292,1.7852431194629375,0.05558236950191751,2.861050996513985,3.755769687558854,0.640168580835527,0.6568244505362713,0.0045619680743824225,0.1290501420009252,1.6244794955331376,0.22428887012030335,0.05124106333364945,0.4666998882915705,0.5359398367401605,0.8261255636957348,0.45243003671645443,1.100742674643558,2.0314795002480692,1.052029129710438,1.1901688997090725,0.8905209070204115,0.3875447356352911,0.9862113543428513,1.2366691741217712,4.370357136441747,2.637694771865697,0.5517041073981491,1.377116413729718,3.9855173072656624,2.8934042469451646,0.07980650436720106,0.22600239514931864,4.329884665575004,0.14863925574202486,3.227793823093553,2.511625095187205,3.1442009974892495,0.5427841053725204,1.3724057214449794,2.232514938714862,0.27978399390597747,0.4204231432138005,0.3068057231111708,0.00457088739238928,0.22449612793981732,0.6875549332778441,4.091497232858527,0.44723470334245174,False,34.946634675042134
